,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,1.0,1.0,0.0,0.0,765,0,0.0,0,6.795792102813721
1,1 (10).jpg,1 (10).txt,1.0,1.0,0.0,0.0,1672,0,0.0,0,5.21833348274231
2,1 (11).jpg,1 (11).txt,1.0,1.0,0.0,0.0,1252,0,0.0,0,4.935781002044678
3,1 (12).jpg,1 (12).txt,1.0,1.0,0.0,0.0,166,0,0.0,0,5.029542922973633
4,1 (13).jpg,1 (13).txt,1.0,1.0,0.0,0.0,170,0,0.0,0,4.918146133422852
5,1 (14).jpg,1 (14).txt,1.0,1.0,0.0,0.0,170,0,0.0,0,5.0409533977508545
6,1 (15).jpg,1 (15).txt,1.0,1.0,0.0,0.0,182,0,0.0,0,4.919431686401367
7,1 (16).jpg,1 (16).txt,1.0,1.0,0.0,0.0,276,0,0.0,0,5.799849987030029
8,1 (17).jpg,1 (17).txt,1.0,1.0,0.0,0.0,182,0,0.0,0,5.072062969207764
9,1 (2).jpg,1 (2).txt,1.0,1.0,0.0,0.0,457,0,0.0,0,4.564116716384888
10,1 (21).jpg,1 (21).txt,1.0,1.0,0.0,0.0,580,0,0.0,0,5.4507975578308105
11,1 (22).jpg,1 (22).txt,1.0,1.0,0.0,0.0,4340,0,0.0,0,5.884204864501953
12,1 (23).jpg,1 (23).txt,1.0,1.0,0.0,0.0,150,0,0.0,0,7.8517374992370605
13,1 (3).jpg,1 (3).txt,1.0,1.0,0.0,0.0,24,0,0.0,0,4.759705066680908
14,1 (4).jpg,1 (4).txt,1.0,1.0,0.0,0.0,402,0,0.0,0,4.984288215637207
15,1 (5).jpg,1 (5).txt,1.0,1.0,0.0,0.0,243,0,0.0,0,5.042147874832153
16,1 (6).jpg,1 (6).txt,1.0,1.0,0.0,0.0,443,0,0.0,0,6.040066480636597
17,1 (7).jpg,1 (7).txt,1.0,1.0,0.0,0.0,628,0,0.0,0,6.221630096435547
18,1 (8).jpg,1 (8).txt,1.0,1.0,0.0,0.0,72,0,0.0,0,4.6955671310424805
19,1 (9).jpg,1 (9).txt,1.0,1.0,0.0,0.0,1681,0,0.0,0,5.503202199935913
